"filename", "language", "YAML", "Dart", "Markdown", "CMake", "C++", "Swift", "HTML", "JSON", "Properties", "XML", "comment", "blank", "total"
"c:\Users\Asus\Desktop\project_stage\app_client\README.md", "Markdown", 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, -7, -17
"c:\Users\Asus\Desktop\project_stage\app_client\analysis_options.yaml", "YAML", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, -4, -29
"c:\Users\Asus\Desktop\project_stage\app_client\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -1, -8
"c:\Users\Asus\Desktop\project_stage\app_client\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -34, -11, -1, -46
"c:\Users\Asus\Desktop\project_stage\app_client\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -7, -2, -13
"c:\Users\Asus\Desktop\project_stage\app_client\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -7, -2, -13
"c:\Users\Asus\Desktop\project_stage\app_client\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -9, -1, -19
"c:\Users\Asus\Desktop\project_stage\app_client\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -9, -1, -19
"c:\Users\Asus\Desktop\project_stage\app_client\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -1, -8
"c:\Users\Asus\Desktop\project_stage\app_client\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"c:\Users\Asus\Desktop\project_stage\app_client\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -1, -6
"c:\Users\Asus\Desktop\project_stage\app_client\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -2, -4, -13
