"filename", "language", "Dart", "YAML", "JavaScript", "comment", "blank", "total"
"c:\Users\Asus\Desktop\project_stage\app_client\lib\config\app_config.dart", "Dart", 14, 0, 0, 2, 3, 19
"c:\Users\Asus\Desktop\project_stage\app_client\lib\config\theme.dart", "Dart", 24, 0, 0, 0, 3, 27
"c:\Users\Asus\Desktop\project_stage\app_client\lib\feedbackController.js", "JavaScript", 0, 0, 169, 45, 37, 251
"c:\Users\Asus\Desktop\project_stage\app_client\lib\main.dart", "Dart", 57, 0, 0, 9, 9, 75
"c:\Users\Asus\Desktop\project_stage\app_client\lib\models\cart.dart", "Dart", 33, 0, 0, 3, 6, 42
"c:\Users\Asus\Desktop\project_stage\app_client\lib\models\feedback.dart", "Dart", 192, 0, 0, 14, 29, 235
"c:\Users\Asus\Desktop\project_stage\app_client\lib\models\food.dart", "Dart", 195, 0, 0, 7, 20, 222
"c:\Users\Asus\Desktop\project_stage\app_client\lib\models\order.dart", "Dart", 269, 0, 0, 2, 15, 286
"c:\Users\Asus\Desktop\project_stage\app_client\lib\models\payment.dart", "Dart", 166, 0, 0, 8, 19, 193
"c:\Users\Asus\Desktop\project_stage\app_client\lib\models\restaurant.dart", "Dart", 106, 0, 0, 1, 9, 116
"c:\Users\Asus\Desktop\project_stage\app_client\lib\models\user.dart", "Dart", 218, 0, 0, 6, 20, 244
"c:\Users\Asus\Desktop\project_stage\app_client\lib\models\user_public_profile.dart", "Dart", 48, 0, 0, 2, 5, 55
"c:\Users\Asus\Desktop\project_stage\app_client\lib\openapi -v2.3.yaml", "YAML", 0, 1127, 0, 15, 28, 1170
"c:\Users\Asus\Desktop\project_stage\app_client\lib\providers\auth_provider.dart", "Dart", 157, 0, 0, 3, 19, 179
"c:\Users\Asus\Desktop\project_stage\app_client\lib\providers\cart_provider.dart", "Dart", 196, 0, 0, 30, 24, 250
"c:\Users\Asus\Desktop\project_stage\app_client\lib\providers\order_provider.dart", "Dart", 137, 0, 0, 1, 15, 153
"c:\Users\Asus\Desktop\project_stage\app_client\lib\providers\restaurant_provider.dart", "Dart", 140, 0, 0, 17, 23, 180
"c:\Users\Asus\Desktop\project_stage\app_client\lib\providers\review_provider.dart", "Dart", 55, 0, 0, 4, 10, 69
"c:\Users\Asus\Desktop\project_stage\app_client\lib\providers\theme_provider.dart", "Dart", 9, 0, 0, 0, 4, 13
"c:\Users\Asus\Desktop\project_stage\app_client\lib\screens\auth\login_screen.dart", "Dart", 323, 0, 0, 8, 19, 350
"c:\Users\Asus\Desktop\project_stage\app_client\lib\screens\auth\profile_screen.dart", "Dart", 282, 0, 0, 8, 18, 308
"c:\Users\Asus\Desktop\project_stage\app_client\lib\screens\auth\register_screen.dart", "Dart", 430, 0, 0, 3, 22, 455
"c:\Users\Asus\Desktop\project_stage\app_client\lib\screens\cart\cart_screen.dart", "Dart", 392, 0, 0, 13, 15, 420
"c:\Users\Asus\Desktop\project_stage\app_client\lib\screens\cart\checkout_screen.dart", "Dart", 246, 0, 0, 8, 5, 259
"c:\Users\Asus\Desktop\project_stage\app_client\lib\screens\home\food_detail_screen.dart", "Dart", 234, 0, 0, 16, 9, 259
"c:\Users\Asus\Desktop\project_stage\app_client\lib\screens\home\home_screen.dart", "Dart", 187, 0, 0, 21, 13, 221
"c:\Users\Asus\Desktop\project_stage\app_client\lib\screens\home\restaurant_detail_screen.dart", "Dart", 604, 0, 0, 2, 24, 630
"c:\Users\Asus\Desktop\project_stage\app_client\lib\screens\orders\order_detail_screen.dart", "Dart", 0, 0, 0, 0, 2, 2
"c:\Users\Asus\Desktop\project_stage\app_client\lib\screens\orders\order_tracking_screen.dart", "Dart", 0, 0, 0, 0, 2, 2
"c:\Users\Asus\Desktop\project_stage\app_client\lib\screens\orders\orders_screen.dart", "Dart", 0, 0, 0, 0, 2, 2
"c:\Users\Asus\Desktop\project_stage\app_client\lib\services\api_service.dart", "Dart", 132, 0, 0, 12, 17, 161
"c:\Users\Asus\Desktop\project_stage\app_client\lib\services\auth_service.dart", "Dart", 218, 0, 0, 16, 29, 263
"c:\Users\Asus\Desktop\project_stage\app_client\lib\services\cart_service.dart", "Dart", 72, 0, 0, 4, 7, 83
"c:\Users\Asus\Desktop\project_stage\app_client\lib\services\location_service.dart", "Dart", 0, 0, 0, 0, 2, 2
